,ner
556,"['napas', 'cổ phần', 'fpt', 'myanmar', 'phạm minh tuấn tổng giám đốc', 'công ty', 'thanh toán', 'tập đoàn', 'quốc gia', 'is', 'việt nam']"
557,"['cổ phần', 'tài', 'công ty', 'tp', 'thế giới', 'hcm', 'đầu tư', 'nguyễn đức tài chủ tịch']"
558,"['vincom hương trà', 'huế vingroup', 'thương mại', 'phường', 'tứ hạ', 'trung tâm', 'đường', 'cách mạng tháng tám', 'vincom retail miền bắc', 'thị xã', 'công ty', 'vincom hùng vương', 'hoàng trung', 'hương trà', 'vingroup dự', 'tập đoàn', 'tỉnh', 'ubnd', 'thừa thiên huế', 'tnhh']"
559,"['nhật', 'fpt']"
560,"['trung quốc', 'nhật bản', 'fpt', 'ấn độ', 'hà nội', 'hồ chí minh', 'vnpt', 'việt nam']"
561,"['nguyễn diệu linh', 'ông', 'linh', 'dương thị mai hoa', 'thuỷ', 'dương thị hoàn', 'tập đoàn', 'đặng thanh thuỷ trong', 'hoàn', 'phạm văn khương', 'mai hương nội', 'vic', 'vũ tuyết hằng', 'nguyễn thị diệu', 'hằng']"
562,"['brand finance anh', 'việt nam', 'fpt', 'brand finance']"
563,"['trần bắc hà chi', 'sở', 'khách sạn', 'grand plaza', 'bắc hà', 'trần anh tuấn', 'kế hoạch', 'thành phố', 'hà nội', 'hà', 'và', 'đầu tư', 'bidv', 'trần bắc hà', 'trần anh tuấn uỷ viên', 'trần duy hưng']"
564,"['nguyễn thị cúc', 'pnj']"
565,"['sài gòn', 'hose', 'hnx', 'mã', 'ngân hàng', 'chứng khoán', 'ctcp', 'đầu tư', 'ssi']"
566,['fpt']
567,"['masan', 'nguyễn đăng quang chủ tịch', 'núi', 'uỷ ban nhân dân', 'nguyễn xuân đường', 'tập đoàn', 'hạ sơn', 'huyện', 'an', 'tỉnh', 'quỳ hợp', 'xã', 'nghệ an']"
568,"['công thương', 'liên đoàn', 'lđ', '–', 'tn', 'bộ', 'pnj', 'ubcknn', 'tbxh', 'việt nam', 'lao động']"
569,['mwg']
570,"['nhật bản', 'fpt']"
571,"['fortress', 'masan', 'ltd', 'nguyễn', 'tập đoàn', 'quang', 'đầu tư', 'mrc', 'michael']"
572,"['công ty', 'chứng khoán', 'nguyễn đức hùng linh', 'vic', 'bizlive', 'việt nam', 'ssi']"
573,['pnj']
575,"['phát triển', 'ngân hàng', 'agribank', 'bidv', 'bid', 'tmcp', 'việt nam']"
576,"['y tế', 'tuổi trẻ', 'bộ']"
577,"['uỷ ban', 'nhà nước', 'chứng khoán', 'pnj']"
578,"['hose', 'cổ phần', 'hnx', 'pan', 'công ty', 'khử trùng', 'tập đoàn', 'vn', 'index', 'việt nam']"
579,"['asean', 'mỹ', 'bidv', 'brand finance', 'việt nam']"
580,"['phát triển', 'ngân hàng', 'và', 'đầu tư', 'bidv', 'tmcp', 'việt nam']"
581,"['uỷ ban', 'nhà nước', 'chứng khoán', 'pnj']"
582,"['bảo việt bvsc', 'bank', 'hoàn cầu', 'tphcm', 'vamc', 'huỳnh thị huyền như', 'ctg']"
583,"['bảo việt bvsc', 'bank', 'hoàn cầu', 'tphcm', 'vamc', 'huỳnh thị huyền như', 'ctg']"
584,['fpt']
585,"['mwg', 'xanh', 'bách hoá']"
586,['fpt']
587,"['thế giới', 'siêu thị', 'ctcp', 'di động', 'đầu tư', 'mwg']"
588,"['tập đoàn', 'fpt', 'bùi quang ngọc']"
589,"['nguyễn thị cúc', 'lê trí thông', 'cổ phần', 'công ty', 'đá quý', 'phạm vũ thanh giang', 'phú nhuận', 'nguyễn vũ phan', 'pnj', 'lê trí thông trong', 'cao thị ngọc dung', 'vàng bạc']"
590,"['nguyễn thị cúc', 'lê trí thông', 'cổ phần', 'công ty', 'đá quý', 'phạm vũ thanh giang', 'phú nhuận', 'nguyễn vũ phan', 'pnj', 'lê trí thông trong', 'cao thị ngọc dung', 'vàng bạc']"
591,['fpt']
592,"['gdck', 'hà nội', 'việt nam', 'sở']"
593,"['gdck', 'hà nội', 'việt nam', 'sở']"
594,"['gdck', 'hà nội', 'việt nam', 'sở']"
595,"['vàng bạc', 'hose pnj', 'cp', 'việt nam vinamilk', 'vnm', 'mai kiều liên tgđ', 'dung', 'đá quý', 'quỳnh', 'liên', 'bình tĩnh', 'phú nhuận', 'cty', 'nguyễn tấn quỳnh', 'vinamilk', 'sữa', 'scic', 'pnj', 'cao thị ngọc dung']"
596,"['vàng bạc', 'hose pnj', 'cp', 'việt nam vinamilk', 'vnm', 'mai kiều liên tgđ', 'dung', 'đá quý', 'quỳnh', 'liên', 'bình tĩnh', 'phú nhuận', 'cty', 'nguyễn tấn quỳnh', 'vinamilk', 'sữa', 'scic', 'pnj', 'cao thị ngọc dung']"
597,['di động']
598,"['hose', 'artex', 'vcsc']"
599,['pnj']
600,"['mwg', 'di động']"
601,['fpt']
602,"['fpt', 'công ty', 'ctcp', 'retail', 'trading', 'kỹ thuật số', 'tnhh', 'phần mềm', 'bán lẻ']"
603,"['sở giao dịch', 'fpt', 'thành phố', 'chứng khoán', 'hồ chí minh', 'retail']"
604,"['tài', 'thế giới', 'bắc', 'hà nội', 'di động', 'hđqt', 'miền']"
605,['vinamilk']
606,"['thế giới', 'trần anh tag', 'ctcp', 'vsd', 'di động', 'số']"
607,"['sở giao dịch', 'cổ phần', 'fpt', 'công ty', 'tập đoàn', 'chứng khoán', 'tphcm', 'thương mại', 'synnex', 'kỹ thuật số', 'tnhh', 'bán lẻ', 'synnex theo']"
608,"['sở giao dịch', 'tp', 'tcbs', 'chứng khoán', 'hcm', 'việt nam']"
609,"['hose', 'việt nam', 'bộ', 'tài chính']"
610,"['masan', 'masan công ty', 'việt nam']"
611,['hose']
612,"['trần anh', 'linh', 'tgdđ', 'doanh', 'trung', 'số', 'đầu tư', 'miền', 'việt nam', 'cổ phần', 'công ty', 'bắc', 'võ hà trung tín', 'nguyễn đức tài', 'trần thanh tùng', 'trần anh hai', 'vũ đăng linh ông', 'thế giới', 'hà nội', 'di động', 'xanh ông tín', 'trần kinh doanh tổng giám đốc']"
613,"['trần anh', 'công nghệ thông tin', 'hcm', '9', 'đầu tư', 'bắc mỹ đến', 'mtv', 'cổ phần', 'amazon', 'công ty', 'aws', 'nguyễn đức tài', 'nguyến đức tài', 'fpt', 'tp', 'thế giới', 'p', 'cty', 'di động', 'web services aws', 'hđqt', 'tnhh', 'mwg', 'quận', 'tân phú']"
614,['pnj']
615,['hnx']
616,[]
617,"['trầm trọng', 'trầm bê', 'minh', 'phương nam', 'ngân hàng', 'xuất nhập khẩu', 'stb', 'tmcp', 'việt nam']"
618,"['stu', 'pnj']"
619,"['shb', 'hai bà trưng', '191', 'habubank', 'a', 'habubank bắc ninh', 'dương giá', 'việt nam', 'tứ minh hải dương', 'tháp', 'bidv', 'quảng ninh', 'habubank trong', 'vincom', 'thành đô', 'kenmark', 'hà nội', 'kenmark đài loan', 'quận']"
620,['fpt']
621,"['đỗ cao bảo', 'bảo', 'fpt']"
622,"['cổ phần', 'trần anh', 'công ty', 'thế giới', 'trần kinh doanh thành viên', 'phúc an khang', 'tp', 'hsc', 'doanh', 'hồ chí minh', 'di động', 'phúc an khang trước', 'ndh', 'đầu tư', 'mã mwg']"
623,"['retail', 'trading', 'tập đoàn', 'fpt']"
624,"['nhật bản', 'trần anh', 'trần xuân kiên chủ tịch', 'trần kinh doanh', 'trần anh mã tag', 'nojima', 'mã mwg', 'nguyễn đức tài chủ tịch', 'đỗ thị thu hường', 'số', 'bán lẻ', 'trần anh mới', 'đầu tư', 'đặng minh lượm', 'cổ phần', 'công ty', 'ctcp', 'võ hà trung tín', 'nguyễn đức tài', 'an khang', 'thế giới', 'trần huy thanh tùng', 'di động', 'mwg']"
625,"['t&t', 'đường', 'vành đai', 'công ty', 'tp', 'cp', '4', 'tập đoàn', 'hà nội', 'ubnd', 'hoà lạc', 'vingroup']"
626,"['mwg', 'cổ phần', 'trần anh', 'công ty', 'thế giới', 'trần xuân kiên chủ tịch', 'kiên', 'di động', 'trần anh mã tag', 'đỗ thị thu hương', 'đầu tư', 'nojima', 'mã mwg', 'số']"
627,"['stb', 'nhà nước', 'ngân hàng']"
628,"['luỹ', 'hose', 'pnj']"
629,"['công ty', 'sài gòn', 'cổ phần', 'chứng khoán']"
630,"['trần anh', 'trần anh mã tag', 'hcm', 'trung', 'số', 'điện máy', 'đầu tư', 'miền', 'việt nam', 'cổ phần', 'công ty', 'phúc an khang', 'xanh', 'bắc', 'nợ', 'thế giới', 'tp', 'siêu thị', 'di động', 'tnhh']"
631,"['hose', 'vsd']"
632,"['sài gòn', 'cổ phần', 'công ty', 'chứng khoán', 'tphcm', 'hose ssi', '1', 'quận']"
633,"['phát triển', 'nhà nước', 'hana', 'tài chính', 'vương đình huệ', 'tập đoàn', 'ngân hàng', 'kim jung tai', 'vương đình huệ tại', 'hana bank', 'và', 'đầu tư', 'bidv', 'bid', 'tmcp', 'hàn quốc', 'việt nam']"
634,"['công ty', 'hose fpt', 'cổ phần', 'fpt']"
635,"['mekong capital', 'mỹ', 'cổ phần', 'chris freund', 'công ty', 'tp', 'thế giới', 'đến', 'hcm', 'di động', 'mã ck mwg', 'đầu tư', 'hđqt', 'nguyễn đức tài chủ tịch']"
636,"['hose', 'sài gòn', 'cổ phần', 'công ty', 'chứng khoán', 'vcsc', 'ssi']"
638,['ocb']
639,"['fortune', 'fpt']"
640,"['hàng đầu', 'fpt', 'fortune', 'tập đoàn', 'bùi quang ngọc', 'trương gia bình', 'khối', 'trading', 'bởi thế', 'retail', 'công nghệ', 'cola', 'việt nam', 'starhub ge airbus coca']"
641,"['phát triển', 'công ty', 'đầu tư', 'dịch vụ', 'tập đoàn', 'hoa lâm', 'nhất khang', 'đũi', 'ctcp', 'nhnn', 'vietbank', 'thương mại', 'bất động sản', 'tnhh', 'chợ', 'dương ngọc hoà chủ tịch']"
642,"['phát triển', 'ngân hàng', 'nhnn', 'và', 'đầu tư', 'bidv', 'tmcp', 'việt nam']"
643,"['fpt', 'synnex fpt', 'tập đoàn', 'retail', 'rwe']"
644,"['sài gòn', 'cổ phần', 'ck', 'công ty', 'mã', 'chứng khoán', 'ssi']"
645,['fpt']
646,"['trần anh tuấn', 'trần anh tuấn trước', 'nhnn', 'bidv', 'bùi quang tiên']"
647,"['thuận thảo', 'bình chánh', 'bid', 'bùi thị xuân phường', 'phường', 'tmcp', 'võ thị thanh giá', 'phát triển', 'đường', 'tân túc', 'bùi thị xuân', 'thị trấn', 'cp', 'đầu tư', 'việt nam', 'cổ phần', 'võ thị thanh', 'công ty', 'huyện', 'bộ', 'bidv', 'nam sài gòn địa', 'bến thành', 'tuy hoà', 'nam sài gòn', 'phú yên', 'ngân hàng', 'tư pháp', 'và', '1', 'thanh', 'quận']"
648,[]
649,"['cổ phần', 'ck', 'điện máy', 'công ty', 'thế giới', 'mã', 'tp', 'trần anh', 'xanh', 'chứng khoán', 'bản', 'việt', 'di động', 'hcm', 'nguyễn đức tài', 'xanh công ty', 'mwg']"
650,"['retail', 'synnex fpt', 'fpt', 'ctcp']"
651,"['tài', 'mã', 'nielsen', 'chứng khoán', 'gfk', 'hcm', 'xanh công ty', 'nguyễn đức tài chủ tịch', 'điện máy', 'nguồn', 'việt nam', 'cổ phần', 'công ty', 'xanh', 'việt', 'ck', 'thế giới', 'tp', 'cty', 'bản', 'di động', 'mwg', 'bách hoá']"
652,"['nhà nước', 'masan', 'msn', 'chứng khoán', 'uỷ ban', 'masan group']"
653,['pnj']
654,"['nguyễn việt quang', 'công ty', 'tập đoàn', 'vsmart', 'người', 'vinsmart', 'hải phòng', 'nhà máy', 'vingroup', 'việt nam', 'cát hải']"
656,"['nguyễn việt quang', 'bình dương', 'bắc ninh', 'quang', 'đồng nai', 'việt nam', 'vingroup', 'happy town']"
657,"['hose', 'sở giao dịch', 'cổ phần', 'công ty', 'tp', 'chứng khoán', 'hcm', 'ndh', 'ssi', 'vn', 'index', 'việt nam', 'vndirect']"
658,"['hnx', 'ngoại thương', 'chứng khoán', 'hsc', 'tmcp', 'vndirect', 'sài gòn', 'sở', 'việt vcsc', 'việt nam', 'gdck', 'cổ phần', 'công ty', 'vpbs', 'upcom vndirect', 'hồ chí minh', 'ssi', 'shs', 'vnds', 'bản', 'thành phố', 'ngân hàng', 'hà nội']"
659,"['ssi', 'hose']"
660,[]
661,"['tài', 'trần anh', 'điện máy', 'thế giới', 'kiên', 'trần xuân kiên', 'xanh', 'adayroi', 'ctcp', 'di động', 'nguyễn đức tài đáp', 'lazada tiki shopee', 'việt nam', 'số']"
662,"['đông á bank pnj', 'cổ phần', 'công ty', 'đá quý', 'dung', 'vàng bạc', 'pnj', 'phú nhuận']"
663,"['sài gòn', 'hiệp', 'landmark', 'lê khắc hiệp', 'việt nam', 'sông', 'vingroup', 'tân cảng']"
664,"['phát triển', 'ngân hàng', 'nhnn', 'và', 'đầu tư', 'bidv', 'tmcp', 'việt nam']"
665,"['retail', 'synnex fpt', 'fpt']"
666,"['trung quốc', 'tài', 'người', 'tài mwg', 'việt nam']"
667,"['phát triển', 'công thương', 'nông nghiệp', 'ngân hàng', 'ngoại thương', 'và', 'nông thôn', 'đầu tư', 'bidv', 'bid', 'tmcp', 'việt nam']"
668,"['vinhomes vhm', 'ftse', 'vietnam etf', 'gelex gex', 'vietnam swap ucits etf', 'mvis', 'deutsche bank', 'việt nam', 'vietnam index']"
669,"['vinhomes vhm', 'ftse', 'vietnam etf', 'gelex gex', 'vietnam swap ucits etf', 'mvis', 'deutsche bank', 'việt nam', 'vietnam index']"
670,"['masan', 'tài chính', 'công ty', 'bản', 'đại lý', 'chứng khoán', 'vsd', 'ctcp', 'việt', 'vcsc', 'việt nam', 'bộ', 'đối tượng', 'uỷ ban', 'nhà nước', 'trường hợp']"
671,"['retail', 'synnex fpt', 'fpt']"
672,"['phát triển', 'asia risk', 'ngân hàng', 'và', 'đầu tư', 'bidv', 'tmcp', 'việt nam']"
673,"['hose', 'sài gòn', 'hnx', 'chứng khoán', 'ctcp', 'ssi']"
674,"['bình tân', 'cổ phần', 'tài', '12', 'tân phú', 'công ty', 'thế giới', 'tp', 'chưa thể', 'doanh', 'hcm', 'hóc môn', 'quận', 'mwg', 'nguyễn đức tài chủ tịch', 'trần kinh doanh tổng giám đốc']"
675,"['luỹ', 'việt nam', 'hnx']"
676,"['tập đoàn', 'vingroup hose vic', 'ctcp', 'vic', 'cần giờ']"
677,"['tuấn', 'trần anh tuấn', 'bidv', 'trần bắc hà', 'bùi quang tiên']"
678,[]
679,"['trung quốc', 'mỹ', 'thế giới', 's', 'trump', 'pyn eilte fund', 'pyn eilte fund mwg', 'di động', ""'"", 'pyn elite fund', 'moody', 'vn', 'index', 'việt nam']"
680,"['trung quốc', 'mỹ', 'thế giới', 's', 'trump', 'pyn eilte fund', 'pyn eilte fund mwg', 'di động', ""'"", 'pyn elite fund', 'moody', 'vn', 'index', 'việt nam']"
681,"['retail', 'hose fpt', 'synnex fpt', 'fpt']"
682,"['bùi quang tiên', 'tmcp', 'nhà nước', 'phát triển', 'keb', 'đầu tư', 'việt nam', 'phan đức tú', 'hana bank', 'bidv', 'quỳnh lưu', 'trần bắc hà', 'nghệ an', 'hàn quốc', 'tuấn', 'tú', 'trần anh tuấn', 'ngân hàng', 'và']"
683,"['bidv', 'trần bắc hà', 'phan đức tú thành viên', 'hàn quốc']"
684,"['thế giới', 'xanh', 'ctcp', 'di động', 'thương mại', 'đầu tư', 'bách hoá']"
685,"['trần bắc hà ông', 'tmcp', 'nhà nước', 'đồng bằng', 'phát triển', 'sở', 'sông cửu long', 'nhà', 'đầu tư', 'việt nam', 'hana', 'kế hoạch', 'phan đức tú', 'bidv', 'trần bắc hà', 'hàn quốc', 'mhb', 'tú', 'ngân hàng', 'hà nội', 'và']"
686,"['hose fpt', 'cổ phần', 'fpt', 'công ty', 'lê song lai thành viên', 'scic', 'sic', 'một', 'đầu tư', 'thành viên', 'tnhh']"
687,"['lê ngọc lâm', 'adb', 'michael barrow', 'bidv', 'phan đức tú chủ tịch', 'việt nam']"
688,"['phát triển', 'ngân hàng', 'hana bank', 'và', 'đầu tư', 'bidv', 'tmcp', 'hàn quốc', 'việt nam']"
689,"['sài gòn', 'công ty', 'tp', 'hưng', 'vũng tàu', 'chứng khoán', 'hải phòng', 'nguyễn duy hưng', 'hcm', 'nha trang', 'ssi', 'việt nam']"
690,"['hưng', 'nguyễn hồng nam thành viên', 'nguyễn duy hưng chủ tịch', 'ssi']"
691,"['nhà nước', 'tú', 'basel', 'ngân hàng']"
692,"['phát triển', 'lê minh hưng', 'adb', 'ngân hàng', 'hose bid', 'châu á', 'nhnn', 'và', 'đầu tư', 'bidv', 'tmcp', 'hàn quốc', 'việt nam']"
693,[]
694,"['luỹ', 'pnj']"
695,"['kiên', 'tập đoàn', 'vietbank', 'lan', 'vietbank bầu kiên', 'hoa lâm', 'vietbank ngoài']"
696,['vietbank']
697,"['châu âu', 'mỹ', 'fpt', 'synnex fpt', 'nhật', 'retail']"
698,['mwg']
699,"['nguyễn văn khoa', 'mỹ', 'fpt', 'bùi quang ngọc']"
700,"['hose', 'hnx', 'nguyễn vũ thuỳ hương', 'ngân hàng', 'chứng khoán', 'ctcp', 'quốc đây', 'hong kong', 'đài loan', 'sinopac', 'ssi', 'việt nam', 'sinopac đài loan trung']"
701,"['tài', 'retail asia', 'châu á', 'nguyễn đức tài', 'việt nam', 'thái bình dương']"
702,"['trung quốc', 'mỹ', 'ssi', 'vn', 'index']"
703,['fpt']
704,"['vcbs', 'hose', 'sở giao dịch', 'tp', 'bản', 'ngân hàng', 'chứng khoán', 'ngoại thương', 'việt vcsc', 'hcm', 'ssi', 'tmcp', 'việt nam']"
705,"['chin', 'masan', 'masan consumer', 'hàng tiêu dùng', 'ctcp', 'masan group con', 'masan masan consumer mch', 'masan group']"
706,"['mỹ', 'nhật bản', 'fpt', 'khối viễn', 'khối doanh']"
707,[]
708,[]
709,"['phát triển', 'lê ngọc lâm', 'ngân hàng', 'phan đức tú chủ tịch', 'hose bid', 'và', 'đầu tư', 'bidv', 'hđqt', 'tmcp', 'việt nam']"
710,"['công ty', 'đà nẵng', 'dịch vụ', 'tp', 'tập đoàn', 'cần thơ', 'vinbus', 'siemens', 'hải phòng', 'đức', 'hcm', 'vinfast', 'vận tải', 'tnhh', 'vingroup', 'việt nam']"
712,"['lưu', 'cổ phần', 'fpt', 'công ty', 'vsd']"
713,"['vintech', 'mỹ', 'lê thị thu thuỷ', 'thuỷ', 'tập đoàn', 'quốc gia', 'viện', 'vinsmart', 'việt nam', 'google', 'vinfast', 'trương quốc hùng', 'vingroup chủ tịch', 'vingroup', 'diễn đàn', 'vinbrain']"
714,"['nam trung bộ', 'fpt', 'trí tuệ', 'việt', 'bình định']"
715,"['vingroup', 'tập đoàn', 'l', 'vingroup hose vic']"
716,"['fpt', 'ctcp']"
717,"['cổ phần', 'trần anh', 'công ty', 'thế giới', 'trần kinh doanh', 'ctcp', 'doanh', 'di động', 'nguyễn đức tài', 'đầu tư', 'trần kinh doanh tổng giám đốc']"
718,"['gdck', 'sở', 'tp', 'hcm', 'pnj', 'dragon capital']"
719,"['hose', 'châu âu', 'hoà phát hpg', 'fpt', 'thông', 'tập đoàn', 'nguyễn duy linh', 'mbb', 'nguyễn đức thông', 'ubcknn', 'việt nam']"
720,"['nguyễn việt quang', 'châu âu', 'mỹ', 'nhật bản', 'đình vũ hải phòng', 'vinsmart khu', 'quang', 'hà nội', 'vinsmart', 'qualcomm mỹ', 'nhà máy', 'vingroup']"
721,"['bản', 'đá quý', 'ctcp', 'vcsc', 'ctck', 'việt vcsc', 'phú nhuận', 'pnj', 'dragon capital', 'vàng bạc']"
722,"['tập đoàn', 'fpt']"
723,"['phát triển', 'cổ phần', 'công ty', 'bsc', 'ngân hàng', 'chứng khoán', 'nguyễn thanh tuấn trưởng phòng', 'và', 'đầu tư', 'ssi', 'việt nam', 'vndirect']"
724,"['nguyễn việt quang', 'fitch', 's', 'p', 'phạm nhật vượng', ""'"", 'moody', '&', 'vingroup']"
725,"['gdck', 'sở', 'tp', 'tcbs', 'hcm', 'acbs']"
726,"['mỹ', 'fpt', 'ctcp']"
728,"['phát triển', 'ngân hàng', 'và', 'đầu tư', 'bidv', 'việt nam']"
729,"['nông nghiệp', 'hnx', 'chứng khoán', 'vea', 'vn30', 'phát triển', 'upcom', 'cp', 'f1', 'đầu tư', 'việt nam', 'sản xuất', 'công ty', 'vineco', 'index', 'yuanta vic', 'hvn', 'tập đoàn', 'hà nội', 'upcom index', 'vingroup', 'vn', 'tnhh', 'vdsc']"
730,"['mỹ', 'tập đoàn', 'fpt']"
731,"['bidv', 'nợ']"
732,"['vingroup hosevic', 'nông nghiệp', 'du lịch', 'vineco sagri', 'phát triển', 'phú gia vingroup', 'people care vingroup', 'vinpearl air', 'cổ phần', 'vinpearl travel', 'vinpearl air vingroup', 'phạm khắc phương', 'công ty', 'vinasia', 'ctcp', 'bất động sản', 'hoàng quốc thuỷ', 'hàng không', 'tập đoàn', 'kinh doanh', 'tnhh', 'vingroup']"
733,['fpt']
734,"['phát triển', 'basel', 'ngân hàng', 'basel iii bidv', 'hana bank', 'và', 'đầu tư', 'bidv', 'kis', 'tmcp', 'việt nam']"
735,"['cổ phần', 'công ty', 'thế giới', 'di động', 'đầu tư']"
736,"['phát triển', 'sài đồng upcom sdi', 'cổ phần', 'công ty', 'tập đoàn', 'sdi', 'vingroup hose vic', 'ctcp', 'vinhomes gardenia', 'hà nội', 'đô thị', 'và', 'đầu tư', 'vingroup']"
737,"['phát triển', 'sài đồng upcom sdi', 'cổ phần', 'công ty', 'tập đoàn', 'sdi', 'vingroup hose vic', 'ctcp', 'vinhomes gardenia', 'hà nội', 'đô thị', 'và', 'đầu tư', 'vingroup']"
738,"['masan', 'cổ phần', 'công ty', 'tập đoàn', 'tcbs', 'chứng khoán', 'thương', 'kỹ']"
739,"['châu âu', 'fpt', 'khối viễn', 'đức', 'group', 'dpd', 'rwe']"
740,"['nguyễn việt quang', 'standard', 'fitch', 's', 'p', 'tập đoàn', 'vingroup hose vic', 'người', 'việt', 'fitch ratings', 'đông nam á', '’', '&', 'vingroup', 'việt nam', 'poor']"
741,"['hãng', 'standard', 'vingroup tổ', 'fadil', 's', 'p', 'lạch huyện cát hải', 'tập đoàn', 'vingroup hose vic', 'hải phòng', 'đức', 'vinfast', '’', '&', 'vingroup', 'poor']"
742,"['hãng', 'standard', 'vingroup tổ', 'fadil', 's', 'p', 'lạch huyện cát hải', 'tập đoàn', 'vingroup hose vic', 'hải phòng', 'đức', 'vinfast', '’', '&', 'vingroup', 'poor']"
743,"['mb', 'mbs', 'fpt', 'chứng khoán', 'ctcp', 'ssi']"
744,"['hose pnj', 'công ty', 'đá quý', 'vàng bạc', 'watch công ty', 'pnj', 'phú nhuận']"
745,"['vcsc', 'tmcp', 'phát triển', 'basel', 'vamc', 'nhnn', 'đầu tư', 'việt nam', 'ii chia', 'hose bid', 'hana bank', 'nợ', 'bộ', 'bidv', 'kis', 'ii riêng', 'tài chính', 'ngân hàng', 'và', 'ii']"
748,"['vingroup', 'vinpearl', 'vinpearl land', 'vingroup hose vic']"
749,"['vingroup', 'vinpearl', 'vinpearl land', 'vingroup hose vic']"
750,"['khải', '7', 'lò gốm phường', 'nguyễn lương bằng', 'hcm', 'nguyễn văn tư bất', 'thương mại', 'phường', 'phú mỹ', 'đường', 'pvit', 'dầu khí', 'phú mỹ hưng', 'đầu tư', '&', '8', '6', 'ctcp', 'đức', 'bidv', 'nghệ an', 'tp', '1', 'quận']"
751,"['tuần', 'fpt']"
752,"['hose pnj', 'watch', 'công ty', 'đá quý', 'vàng bạc', 'pnj', 'phú nhuận']"
753,"['nguyễn việt quang', 'u23', 'vff', 'liên đoàn', 'lê khánh hải thứ', 'tập đoàn', 'quốc gia', 'bóng đá', 'pvf', 'đội tuyển', 'vingroup', 'việt nam']"
754,"['7', 'thuận thảo', 'nguyễn lương bằng', 'bình chánh', 'hcm', 'phường', 'phú mỹ', 'đường', 'tân túc', 'bùi thị xuân', 'thị trấn', 'huế', 'võ thị thanh', 'ctcp', 'huyện', 'hose bid', 'bidv', 'bến thành', 'nam sài gòn', 'tp', 'phú yên', '1', 'quận']"
755,"['rồng việt vdsc', 'đá quý', 'ctcp', 'diamond', 'phú nhuận', 'pnj', 'vn', 'vàng bạc']"
756,"['rồng việt vdsc', 'car', 'basel', 'ngân hàng', 'bid', 'bidv', '2', 'khb', 'vdsc', 'hàn quốc']"
757,"['keb hana', 'bid', 'tmcp', 'nhà nước', 'phát triển', 'đầu tư', 'phan đức tú chủ tịch', 'hana group ngân', 'việt nam', 'hàng', 'hana', 'phan đức tú', 'keb hana bank', 'bidv', 'hàn quốc', 'tài chính', 'tập đoàn', 'ngân hàng', 'và', 'hana ngân']"
758,"['lê trí thông', 'hose pnj', 'robert', 'đá quý', 'ctcp', 'phú nhuận', 'pnj', 'thông', 'robert alan willett', 'cao thị ngọc dung', 'vàng bạc']"
759,"['phân tích', 'research', 'chứng khoán', 'ctcp', 'hose ssi ssi research', 'llc', 'vamc', 'hose bid điểm', 'bidv', 'ssi', 'trung tâm']"
760,"['phân tích', 'research', 'chứng khoán', 'ctcp', 'hose ssi ssi research', 'llc', 'vamc', 'hose bid điểm', 'bidv', 'ssi', 'trung tâm']"
761,"['công ty', 'lạch huyện cát hải', 'tập đoàn', 'vingroup hose vic', 'hải phòng', 'đức', 'vinfast', 'fastgo', 'vingroup', 'việt nam']"
762,"['công ty', 'lạch huyện cát hải', 'tập đoàn', 'vingroup hose vic', 'hải phòng', 'đức', 'vinfast', 'fastgo', 'vingroup', 'việt nam']"
763,"['rồng việt vdsc', 'hose pnj', 'watch', 'công ty', 'đá quý', 'gold', 'vàng bạc', 'diamond', 'pnj', 'vn', 'silver', 'phú nhuận']"
764,"['nam trung bộ', 'thế giới', 'hose mwg', 'nam', 'tp', 'ctcp', 'di động', 'hcm', 'đầu tư', 'trung', 'miền']"
765,"['hana bank ngoài', 'tài chính', 'hana', 'keb', 'đỗ ngọc quỳnh giám', 'tập đoàn', 'basel', 'hana bank', 'bidv', 'phan đức tú chủ tịch', 'việt nam']"
766,"['bảo việt bvsc', 'chứng khoán', 'hcm', 'trung', 'tmcp', 'phát triển', 'watch', 'nhnn', 'đầu tư', 'ctbc', 'việt nam', 'miền', 'trung quốc', 'công thương', 'công ty', 'bắc', 'nguyễn trí vinh chuyên gia', 'tây nguyên', 'nguyễn trí vinh', 'tp', 'ngân hàng', 'và', 'pnj', 'tnhh', 'đông nam á']"
767,"['thế giới', 'hose mwg', 'ctcp', 'di động', 'đầu tư', 'ubcknn']"
768,['ubck']
769,"['phú an vĩnh long', 'vĩnh long', 'thương mại', 'đầu tư', '508', 'bạch đằng', 'ctcp', 'huyện', 'mê linh', 'xã', 'bidv', 'bạch đằng bạch đằng', 'complex', 'thống nhất', 'dịch vụ', 'phú yên', 'xây dựng', 'khách sạn', 'tiền phong']"
770,"['phú an vĩnh long', 'vĩnh long', 'bắc an giang trước', 'thương mại', 'ang giang', 'bắc an giang', 'châu đốc', 'đầu tư', '508', 'bạch đằng', 'công ty', 'ctcp', 'bidv', 'việt can', 'thống nhất', 'dịch vụ', 'phú yên', 'xây dựng', 'tnhh', 'khách sạn']"
771,"['điện máy', 'công ty', 'thế giới', 'cp', 'trần kinh doanh', 'tập đoàn', 'đoàn văn hiểu em', 'di động', 'xanh ông', 'mwg']"
772,"['ctcp', 'tiếp vận', 'tân liên phát tân cảng', 'và', 'bidv', 'bất động sản']"
