,ner
60,"['khánh hoà', 'vinpearl công ty', 'thành viên', 'cam ranh', 'phát triển', 'một', 'đầu tư', '&', 'mtv', 'cổ phần', 'công ty', 'nguyễn trọng hiền', 'vinpearl bãi dài', 'tập đoàn', 'vic', 'vingroup', 'hòn tre', 'tnhh', 'vinpearl']"
61,[]
62,"['ssi', 'sài gòn', 'chứng khoán', 'ctcp']"
64,"['fpt', 'daewoo', 'trương gia bình chủ tịch', 'hà nội chi', 'khách sạn']"
65,"['khách sạn', 'fpt', 'daewoo']"
70,"['phát triển', 'vincom centrerb', 'công ty', 'thành phố', 'thời đại', 'hồ chí minh', 'thương mại', 'vic', 'đầu tư', 'tnhh', '&', 'mtv']"
71,"['đông á', 'ctcp', 'pnj', 'hđqtpnj', 'địa ốc']"
75,"['trần xuân hiệp mã', 'stb']"
76,"['stb', 'trần bích hảo mã']"
79,"['telecom', 'fpt', 'nguyễn thế phương', 'mớifpt', 'trương gia bình', 'nguyễn thành nam', 'scic', 'bình']"
89,"['sở giao dịch', 'cổ phần', 'chífpt', 'fpt', 'công ty', 'apple', 'tập đoàn', 'chứng khoán', 'tphcm', 'báo', 'việt nam']"
97,"['retail', 'fpt', 'myanmar']"
99,['vcb']
100,"['phát triển', 'sài đồng', 'công ty', 'ctcp', 'vincom center long biên', 'đô thị', 'và', 'vic', 'đầu tư', 'vincom retail', 'du lịch', 'tnhh', 'việt nam']"
105,"['phát triển', 'cổ phần', 'ngân hàng', 'liên doanh', 'việt hiện', 'việt', 'thương mại', 'và', 'đầu tư', 'bidv', 'lào', 'việt nam']"
108,"['phát triển', 'xavinco', 'địa ốc', 'hoàng gia', 'thành phố', 'ctcp', 'vic', 'đầu tư', 'bất động sản', '&']"
109,"['phát triển', 'vincom retail', 'công ty', 'bđs', 'thành phố', 'vincom center long biên', 'hải phòng', 'vincom center bà triệu', 'và', 'vic', 'đầu tư', 'hcm', 'tnhh', 'vincom center b', 'mtv']"
112,"['ubcknn', 'stb']"
113,['fpt']
120,"['phát triển', 'hạ tầng', 'cổ phần', 'tập đoàn', 'vingroup công ty', 'ctcp', 'việt nam', 'và', 'vic', 'tp hcm theo', 'bất động sản', 'khách sạn', 'vincom center a']"
122,"['hoàn kiếm', 'lý thái tổ', 'tp', 'hà nội trước', 'ngân hàng', 'bidv', 'phường', 'nhà nước', 'quận']"
