,NewsFullContent
10982,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy ctg hose    bid hose    msn hose    vhm hose    vnm hose    phr hose    vgc hose    pnj hose    hsg hose    nvl hose    thông tin chi tiết xin vui lòng truy cập tại
11000,tính đến h ngày  trên sàn hose vnindex đạt mức  điểm thay đổi % toàn sàn có mã tăng mã giảm và mã đứng giá tham chiếu trên sàn hnx hnxindex đạt mức  điểm tương đương thay đổi % toàn sàn có mã tăng mã giảm và mã đứng giá tham chiếu khối lượng giao dịch toàn thị trường đạt  triệu đơn vị tương ứng giá trị  tỉ đồng trong đó giao dịch thỏa thuận trên hose  tỉ đồng giao dịch khối ngoại hiện bán ròng trên cả sàn với tổng giá trị  tỉ đồng tập trung vào các mã vic  tỷ đồng hpg  tỷ đồng msn  tỷ đồng
11004,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vic hose    hpg hose    pow hose    acv upcom    hdb hose    ssi hose    pvt hose    msn hose    plx hose    vpb hose    thông tin chi tiết xin vui lòng truy cập tại
11007,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy msn hose    gex hose    hcm hose    flc hose    hhs hose    ttf hose    hut hnx    tsc hose    klf hnx    har hose    sed hnx    ttb hose    sbs upcom    ftm hose    itq hnx    tth hnx    dic hose    pfl upcom   lmh hose    tgg hose  
11017,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vic hose    hpg hose    pow hose    hdb hose    pvt hose    vpb hose    plx hose    dpm hose    acv upcom    sab hose    thông tin chi tiết xin vui lòng truy cập tại
11050,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vcb hose    vnm hose    msn hose    nlg hose    hcm hose    hpg hose    plx hose    vhc hose    vpb hose    vgc hose    thông tin chi tiết xin vui lòng truy cập tại
11051,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vic hose    acv upcom    hdb hose    stb hose    bsr upcom    shb hnx    vci hose    pow hose    bvh hose    ros hose    thông tin chi tiết xin vui lòng truy cập tại
11071,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy stb hose    bsr upcom    evfvn hose    vpb hose    hdb hose    shb hnx    pvt hose    gvr hose    pow hose    dmc hose    thông tin chi tiết xin vui lòng truy cập tại
11073,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vic hose    vhm hose    acv upcom    vgi upcom    tcb hose    vre hose    hpg hose    plx hose    vpb hose    gvr hose    bvh hose    acb hnx    mwg hose    fpt hose    hvn hose    shb hnx    bsr upcom    vib upcom    pnj hose    ree hose    vcs hnx    sbt hose    gex hose    oil upcom    lpb upcom    pvs hnx    nlg hose    dpm hose    hcm hose    hose    geg hose    vgt upcom    dig hose    dcm hose    nvb hnx    vnd hose    dbc hose    agg hose    ctr upcom    pc hose    aaa hose    ita hose    shs hnx    ceo hnx    fit hose    scr hose    msh hose    bmi hose    nhh hose    tar hnx    hdc hose    nkg hose    hhs hose    csv hose    tdh hose    ttf hose    skg hose    agr hose    hqc hose    cg upcom    tig hnx    hax hose    mbg hnx    tsc hose    apg hose    drh hose    art hnx    evg hose    ttb hose    mst hnx    hcd hose    bii hnx   pfl upcom   ppi upcom   mpt hnx    nhp hnx  
11082,kết thúc phiên giao dịch ngày  trên sàn hose vnindex đạt mức  điểm thay đổi % toàn sàn có mã tăng mã giảm và mã đứng giá tham chiếu trên sàn hnx hnxindex đạt mức  điểm tương đương thay đổi % toàn sàn có mã tăng mã giảm và mã đứng giá tham chiếu khối lượng giao dịch toàn thị trường đạt  triệu đơn vị tương ứng giá trị  tỷ đồng trong đó giao dịch thỏa thuận trên hose  tỷ đồng giao dịch khối ngoại hiện bán ròng trên cả sàn với tổng giá trị  tỷ đồng tập trung vào các mã vic  tỷ đồng hdb  tỷ đồng msn  tỷ đồng
11095,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vic hose    dmc hose    bsr upcom    gas hose    stb hose    shb hnx    pvt hose    ctg hose    tng hnx    vhm hose    thông tin chi tiết xin vui lòng truy cập tại
11110,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vic hose    hdb hose    dmc hose    vpb hose    bid hose    shb hnx    ctg hose    bsr upcom    stb hose    gas hose    thông tin chi tiết xin vui lòng truy cập tại
11124,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy stb hose    ros hose    ctg hose    flc hose    amd hose    aaa hose    pc hose    hag hose    hsg hose    vre hose    thông tin chi tiết xin vui lòng truy cập tại
11125,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy ctg hose    stb hose    msn hose    vre hose    sab hose    ros hose    kdh hose    pc hose    aaa hose    bid hose    thông tin chi tiết xin vui lòng truy cập tại
11140,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy ctg hose    msn hose    stb hose    vre hose    nlg hose    hpg hose    kdh hose    pc hose    bid hose    vea upcom    thông tin chi tiết xin vui lòng truy cập tại
11150,cổ phiếu ssi  chứng khoán ssi có giá tăng liên tiếp phiên giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
11151,cổ phiếu fpt  fpt corp có giá tăng liên tiếp phiên giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
11163,kết thúc phiên giao dịch ngày  trên sàn hose vnindex đạt mức  điểm thay đổi % toàn sàn có mã tăng mã giảm và mã đứng giá tham chiếu trên sàn hnx hnxindex đạt mức  điểm tương đương thay đổi % toàn sàn có mã tăng mã giảm và mã đứng giá tham chiếu khối lượng giao dịch toàn thị trường đạt  triệu đơn vị tương ứng giá trị  tỷ đồng trong đó giao dịch thỏa thuận trên hose  tỷ đồng giao dịch khối ngoại hiện bán ròng trên cả sàn với tổng giá trị  tỷ đồng tập trung vào các mã vic  tỷ đồng vnm  tỷ đồng bid  tỷ đồng
11194,cổ phiếu vic  vingroup có dấu hiệu mua chủ động với khối lượng mua lên lớn giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
11206,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy mwg hose    hpg hose    vnm hose    ctg hose    fpt hose    mbb hose    vre hose    vic hose    vpb hose    vcb hose    thông tin chi tiết xin vui lòng truy cập tại
11238,cổ phiếu vic  vingroup có dấu hiệu mua chủ động với khối lượng mua lên lớn giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
11254,kết thúc phiên giao dịch ngày  trên sàn hose vnindex đạt mức  điểm thay đổi % toàn sàn có mã tăng mã giảm và mã đứng giá tham chiếu trên sàn hnx hnxindex đạt mức  điểm tương đương thay đổi % toàn sàn có mã tăng mã giảm và mã đứng giá tham chiếu khối lượng giao dịch toàn thị trường đạt  triệu đơn vị tương ứng giá trị  tỷ đồng trong đó giao dịch thỏa thuận trên hose  tỷ đồng giao dịch khối ngoại hiện bán ròng trên cả sàn với tổng giá trị  tỷ đồng tập trung vào các mã vic  tỷ đồng dbc  tỷ đồng vnm  tỷ đồng
11255,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vic hose    dbc hose    vnm hose    dpm hose    msn hose    bsr upcom    stb hose    gas hose    bid hose    pow hose    thông tin chi tiết xin vui lòng truy cập tại
11256,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vic hose    vcb hose    vnm hose    gas hose    ctg hose    msn hose    vre hose    hpg hose    vpb hose    plx hose    gvr hose    mbb hose    mwg hose    hvn hose    bvh hose    acb hnx    pow hose    eib hose    stb hose    hng hose    vib upcom    kdh hose    vcs hnx    sbt hose    ssi hose    gex hose    ppc hose    tch hose    oil upcom    lpb upcom    hpx hose    kbc hose    evfvn hose    dpm hose    nlg hose    dxg hose    pvd hose    dig hose    kdc hose    dcm hose    nvb hnx    dgc hnx    hag hose    dbc hose    pvt hose    hsg hose    ros hose    flc hose    ita hose    aaa hose    bmi hose    hbc hose    ceo hnx    fit hose    scr hose    nhh hose    ldg hose    hvg hose    asm hose    tar hnx    plc hnx    hhs hose    vc hnx    ctf hose    fcn hose    idi hose    tng hnx    ksb hose    ogc hose    shi hose    bfc hose    tvb hose    las hnx    amv hnx    lcg hose    cg upcom    hqc hose    hai hose    dlg hose    amd hose    tig hnx    g upcom    apg hose    drh hose    vne hose    pvb hnx    gkm hnx    pvc hnx    pxs hose    evg hose    ttb hose    ssn upcom    tld hose    hcd hose    dst hnx    vna upcom    bii hnx   kvc hnx   pfl upcom   lmh hose    tdg hose    acm hnx   mpt hnx    tgg hose   ppi upcom   nhp hnx  
11308,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy stb hose    hut hnx    evfvn hose    ros hose    bid hose    shb hnx    vre hose    bsr upcom    ctg hose    ssi hose    thông tin chi tiết xin vui lòng truy cập tại
11309,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy bid hose    stb hose    vcb hose    vic hose    evfvn hose    vre hose    gas hose    shb hnx    ctg hose    frt hose    thông tin chi tiết xin vui lòng truy cập tại
11342,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy fpt hose    vhm hose    msn hose    lpb upcom    hcm hose    phr hose    hqc hose    hai hose    hbc hose    aaa hose    thông tin chi tiết xin vui lòng truy cập tại
11378,cổ phiếu vic  vingroup có dấu hiệu mua chủ động với khối lượng mua lên lớn giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
11433,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vcb hose    vre hose    vnm hose    hdb hose    dbc hose    hpg hose    vhm hose    stb hose    gas hose    plx hose    thông tin chi tiết xin vui lòng truy cập tại
11480,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vcb hose    vjc hose    vgc hose    kbc hose    evfvn hose    vgt upcom    nvb hnx    ceo hnx    fit hose    hhs hose    shi hose    pxl upcom    agr hose    abs hose    hah hose    g upcom    idj hnx    hut hnx    klf hnx    tsc hose    dah hose    pvx hnx   dtd hnx    dag hose    pvc hnx    art hnx    bce hose    dhm hose    hvh hose    sjf hose    hcd hose    mst hnx    tld hose    ftm hose    tth hnx    itq hnx    dst hnx    vna upcom    kvc hnx   clg hose    bii hnx   hkb hnx   pfl upcom   lmh hose    vig hnx   mpt hnx    spp hnx   ppi upcom   spi hnx   pvv upcom   nhp hnx  
11543,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy msn hose    fox upcom    hnd upcom    snz upcom    oil upcom    vpi hose    kdc hose    kos hose    ntc upcom    ita hose    ncp upcom    svc hose    naf hose    vlc upcom    dgw hose    hhs hose    ogc hose    lhg hose    cg upcom    amd hose    dha hose    tcw upcom    hose    hii hose    dah hose    drh hose    gvt upcom    hmc hose    vrg upcom    gnd upcom    tnd upcom    vtd upcom    mta upcom    stv upcom    sci hnx    hcd hose    hda hnx    tld hose    sd hnx    sdd upcom    vnh upcom  
11572,cổ phiếu vic  vingroup có dấu hiệu mua chủ động với khối lượng mua lên lớn giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
11589,cổ phiếu pnj  vàng phú nhuận có dấu hiệu đẩy giá với khối lượng đặt mua tại bước giá lớn giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
11590,cổ phiếu pnj  vàng phú nhuận có khối lượng giao dịch tăng liên tiếp phiên giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
11604,cổ phiếu vic  vingroup có đường giá cắt lên trên đường ngắn hạn ma giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
11607,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy stb hose    ita hose    vre hose    kbc hose    kdh hose    hdb hose    pvd hose    hsg hose    bsr upcom    ttf hose    thông tin chi tiết xin vui lòng truy cập tại
11649,cổ phiếu msn  tập đoàn masan có dấu hiệu mua chủ động với khối lượng mua lên lớn giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
11653,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vcb hose    vpb hose    vhm hose    msn hose    evfvn hose    plx hose    hpg hose    hcm hose    sbt hose    vcs hnx    thông tin chi tiết xin vui lòng truy cập tại
11662,cổ phiếu ssi  chứng khoán ssi có dấu hiệu bán chủ động với khối lượng bán xuống lớn giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
11669,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vic hose    kdh hose    sab hose    acv upcom    svc hose    pvs hnx    gas hose    stb hose    dpm hose    vjc hose    thông tin chi tiết xin vui lòng truy cập tại
11699,cổ phiếu vic  vingroup có đường giá cắt lên trên đường ngắn hạn ma giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
11701,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vic hose    bid hose    gas hose    vgi upcom    ctg hose    tcb hose    vpb hose    nvl hose    plx hose    vea upcom    gvr hose    mch upcom    mbb hose    mwg hose    fpt hose    bvh hose    bsr upcom    stb hose    hng hose    vib upcom    dhg hose    sbt hose    snz upcom    oil upcom    qns upcom    ssi hose    tch hose    vtp upcom    lpb upcom    vhc hose    nlg hose    hcm hose    dxg hose    mpc upcom    ctd hose    geg hose    kdc hose    pvd hose    dig hose    hsg hose    hag hose    vci hose    kos hose    hdg hose    ntc upcom    pc hose    ctr upcom    vnd hose    ptb hose    aaa hose    szc hose    hose    msh hose    frt hose    dpr hose    tv hose    mbs hnx    voc upcom    kdf upcom    fts hose    dvp hose    sgp upcom    asm hose    cti hose    sjd hose    vlc upcom    ksb hose    dpg hose    ral hose    abi upcom    smb hose    tcm hose    sba hose    pxl upcom    cg upcom    agr hose    fir hose    pet hose    bcg hose    tcl hose    dsn hose    ict hose    dqc hose    g upcom    acl hose    hax hose    tcw upcom    vne hose    ilb hose    tya hose    eve hose    hose    hose    drh hose    hose    uic hose    vrc hose    apg hose    hmc hose    gvt upcom    dri upcom    dag hose    sze upcom    fcm hose    mta upcom    tnd upcom    fuessv hose    itd hose    bmc hose    ttb hose    sbs upcom    ssn upcom    tld hose    pwa upcom    dar upcom    ts hose    tdg hose   
11714,cổ phiếu fpt  fpt corp có dấu hiệu mua chủ động với khối lượng mua lên lớn giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
11716,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vic hose    bid hose    gas hose    acv upcom    vgi upcom    ctg hose    tcb hose    vpb hose    nvl hose    plx hose    vea upcom    gvr hose    mch upcom    mbb hose    mwg hose    fpt hose    bvh hose    bsr upcom    stb hose    hng hose    vib upcom    dhg hose    sbt hose    snz upcom    oil upcom    qns upcom    ssi hose    tch hose    vtp upcom    lpb upcom    vhc hose    nlg hose    hcm hose    ht hose    dxg hose    mpc upcom    ctd hose    geg hose    kdc hose    pvd hose    dig hose    hsg hose    hag hose    vci hose    kos hose    pvt hose    hdg hose    ntc upcom    pc hose    imp hose    ctr upcom    vnd hose    ptb hose    aaa hose    szc hose    hose    msh hose    frt hose    dpr hose    tv hose    mbs hnx    voc upcom    kdf upcom    fts hose    dvp hose    sgp upcom    asm hose    hvg hose    cti hose    sjd hose    vlc upcom    ksb hose    dpg hose    ral hose    abi upcom    tac hose    smb hose    tcm hose    sba hose    pxl upcom    cg upcom    agr hose    bvs hnx    fir hose    pet hose    bcg hose    tcl hose    dsn hose    ict hose    hah hose    dha hose    dqc hose    g upcom    acl hose    hax hose    tcw upcom    vne hose    ilb hose    tya hose    eve hose    hose    hose    drh hose    hose    uic hose    vrc hose    apg hose    hmc hose    gvt upcom    dri upcom    dag hose    sze upcom    fcm hose    mta upcom    ors upcom    tnd upcom    pvc hnx    asp hose    fuessv hose    itd hose    bmc hose    ttb hose    sbs upcom    ssn upcom    tld hose    pwa upcom    hu hose    dar upcom    vna upcom    ts hose    pfl upcom   tdg hose   
11719,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vcb hose    vhm hose    bid hose    ctg hose    hpg hose    vre hose    vpb hose    mbb hose    fpt hose    pow hose    hdb hose    bsr upcom    stb hose    oil upcom    ssi hose    lpb upcom    kbc hose    vhc hose    pvs hnx    nlg hose    dpm hose    hose    pvd hose    dig hose    hsg hose    dbc hose    pvt hose    ita hose    anv hose    aaa hose    flc hose    ros hose    hbc hose    nkg hose    hhs hose    fcn hose    tng hnx    las hnx    bfc hose    ttf hose    bcg hose    amd hose    idj hnx    hut hnx    g upcom    dlg hose    pvx hnx   apg hose    klf hnx    art hnx    sbs upcom    hcd hose    mst hnx    kvc hnx   bii hnx   lmh hose    acm hnx  
11747,cổ phiếu fpt  fpt corp có giá tăng liên tiếp phiên giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
11749,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vcb hose    vnm hose    bid hose    gas hose    acv upcom    vgi upcom    tcb hose    hpg hose    mbb hose    mwg hose    fpt hose    bvh hose    bsr upcom    stb hose    upcom    vib upcom    pnj hose    ree hose    hnd upcom    ssi hose    oil upcom    snz upcom    qns upcom    ppc hose    lpb upcom    phr hose    vhc hose    nlg hose    nt hose    hcm hose    dpm hose    dxg hose    mpc upcom    ht hose    ctd hose    qtp upcom    pvd hose    geg hose    dcm hose    kdc hose    vgt upcom    vsh hose    bmp hose    hsg hose    hag hose    vci hose    dbc hose    pvt hose    ntc upcom    ctr upcom    vnd hose    ast hose    aaa hose    bmi hose    tdm hose    hose    evf upcom    szc hose    hbc hose    msh hose    dmc hose    yeg hose    dpr hose    fts hose    dvp hose    sgp upcom    asm hose    ldg hose    cre hose    fmc hose    dd hose    cti hose    sjd hose    vlc upcom    stk hose    dpg hose    ksb hose    ntl hose    abi upcom    hdc hose    btp hose    idi hose    csv hose    smb hose    tcm hose    lhg hose    pgc hose    nng upcom    pxl upcom    cg upcom    bdt upcom    agr hose    bfc hose    gil hose    pet hose    cts hose    tcl hose    htn hose    dsn hose    tni hose    hah hose    vtr upcom    acl hose    g upcom    ckg hose    hose    eve hose    drh hose    uic hose    apg hose    dri upcom    mta upcom    dag hose    elc hose    tnd upcom    fcm hose    pxs hose    agm hose    mfs upcom    fuessv hose    bmc hose    ttb hose    ssn upcom    sbs upcom    tld hose    vhg upcom   mls upcom    pwa upcom    tth hnx    vna upcom    ts hose    kvc hnx   pfl upcom   tdg hose    nsh hnx    cdo upcom   pxt hose   
11764,cổ phiếu vcb  vietcombank có dấu hiệu mua chủ động với khối lượng mua lên lớn giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
11766,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vcb hose    vnm hose    bid hose    gas hose    acv upcom    vgi upcom    tcb hose    hpg hose    plx hose    mbb hose    mwg hose    fpt hose    bvh hose    bsr upcom    stb hose    upcom    vib upcom    pnj hose    ree hose    hnd upcom    ssi hose    oil upcom    snz upcom    qns upcom    ppc hose    lpb upcom    phr hose    vhc hose    nlg hose    nt hose    hcm hose    dpm hose    dxg hose    mpc upcom    ht hose    ctd hose    qtp upcom    pme hose    pvd hose    geg hose    dcm hose    kdc hose    vgt upcom    vsh hose    bmp hose    sas upcom    hsg hose    hag hose    vci hose    dbc hose    pvt hose    ntc upcom    htm upcom    ctr upcom    vnd hose    ast hose    aaa hose    bmi hose    tdm hose    hose    evf upcom    szc hose    hbc hose    msh hose    dmc hose    yeg hose    dpr hose    fts hose    dvp hose    sgp upcom    asm hose    ldg hose    cre hose    fmc hose    dd hose    nkg hose    cti hose    sjd hose    vlc upcom    stk hose    dpg hose    ksb hose    ntl hose    abi upcom    hdc hose    tac hose    btp hose    idi hose    csv hose    smb hose    tcm hose    sba hose    lhg hose    pgc hose    nng upcom    pxl upcom    cg upcom    bdt upcom    agr hose    bfc hose    gil hose    pet hose    cts hose    tcl hose    htn hose    dsn hose    tni hose    tna hose    dha hose    hah hose    vtr upcom    acl hose    g upcom    ckg hose    hose    eve hose    drh hose    uic hose    apg hose    tlh hose    dri upcom    hmc hose    mta upcom    dag hose    elc hose    tnd upcom    fcm hose    sfg hose    pvg hnx    pxs hose    agm hose    mfs upcom    fuessv hose    bmc hose    ttb hose    hvh hose    ssn upcom    sbs upcom    tdt hnx    tld hose    vhg upcom   mls upcom    hsl hose    pwa upcom    tth hnx    vna upcom    ts hose    kvc hnx   pfl upcom   tdg hose    nsh hnx    cdo upcom   pxt hose   
11767,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vic hose    hrc hose    vre hose    pow hose    bvh hose    evfvn hose    dpm hose    acv upcom    vci hose    bsr upcom    thông tin chi tiết xin vui lòng truy cập tại
11768,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vic hose    acb hnx    bsr upcom    qns upcom    evfvn hose    dpm hose    vci hose    nvb hnx    tdm hose    ceo hnx    fmc hose    hvg hose    pac hose    ntl hose    abi upcom    tcm hose    bcc hnx    tng hnx    shi hose    pxl upcom    agr hose    bvs hnx    gil hose    las hnx    tni hose    hqc hose    hut hnx    tip hose    tig hnx    g upcom    hose    pvx hnx    mbg hnx    vph hose    dah hose    klf hnx    dri upcom    pvc hnx    art hnx    sjf hose    ttb hose    evg hose    hvh hose    lig hnx    sbs upcom    hnx    mst hnx    dst hnx    tth hnx    itq hnx    bii hnx   kvc hnx   clg hose    hkb hnx   vig hnx   lmh hose    acm hnx   tgg hose   mpt hnx    spp hnx   lcm hose   spi hnx  
11769,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vic hose    vcb hose    vhm hose    vnm hose    bid hose    vgi upcom    ctg hose    msn hose    tcb hose    hpg hose    vjc hose    vpb hose    vre hose    plx hose    nvl hose    mbb hose    mwg hose    fpt hose    bvh hose    pow hose    bsr upcom    stb hose    tpb hose    vib upcom    pnj hose    kdh hose    ree hose    sbt hose    pdr hose    hnd upcom    ssi hose    oil upcom    qns upcom    tch hose    vpi hose    hpx hose    kbc hose    pvs hnx    nlg hose    nt hose    gmd hose    dpm hose    dxg hose    gtn hose    pvd hose    geg hose    dcm hose    vgt upcom    bmp hose    dig hose    hsg hose    hag hose    vci hose    nvb hnx    dbc hose    ita hose    drc hose    ast hose    anv hose    aaa hose    flc hose    ros hose    ceo hnx    hbc hose    dmc hose    scr hose    ibc hose    nhh hose    asm hose    ldg hose    cre hose    nkg hose    hvg hose    tar hnx    dpg hose    vc hnx    hdc hose    ctf hose    ogc hose    idi hose    csv hose    tcm hose    lhg hose    tng hnx    ndn hnx    shi hose    agr hose    bfc hose    ttf hose    las hnx    cvt hose    cts hose    tni hose    hai hose    hqc hose    hut hnx    tig hnx    dlg hose    drh hose    pvx hnx    mbg hnx    vph hose    dah hose    apg hose    tlh hose    klf hnx    dag hose    gkm hnx    art hnx    hhp hnx    tdn hnx    ttb hose    evg hose    vhg upcom   hcd hose    dst hnx    itq hnx    vna upcom    pfl upcom   clg hose    tdg hose   
11798,cổ phiếu bid  bidv có giá tăng liên tiếp phiên giá hiện tại đạt  khối lượng giao dịch tích lũy từ đầu phiên đạt  cp  thông tin giao dịch cổ phiếu ngày    giá  vnd  vốn hóa  tỷ đồng  vol tb m   % giá m %  giá w 
11804,top cổ phiếu kéo chỉ số lên stt hose hnx upcom mã đóng góp mã đóng góp mã đóng góp fpt ~% vcs ~% acv ~% hvn ~% shb ~% vgi ~% bvh ~% shs ~% vbb ~% gvr ~% pvi ~% vea ~% hpg ~% pvs ~% sjg ~% top cổ phiếu kéo chỉ số xuống stt hose hnx upcom mã đóng góp mã đóng góp mã đóng góp vic ~% vif ~% bcm ~% vhm ~% pti ~% ~% vjc ~% ~% mvb ~% vre ~% vnt ~% fox ~% vpb ~% php ~% sbh ~%
11815,công ty cổ phần chứng khoán tphcm thông báo điều chỉnh chứng quyền fpthscmet như sau tài liệu đính kèm _aodieuchinhcwpdf
11821,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vic hose    vre hose    frt hose    acv upcom    pow hose    hsg hose    msn hose    hut hnx    hdc hose    vjc hose    thông tin chi tiết xin vui lòng truy cập tại
11822,top cổ phiếu kéo chỉ số lên stt hose hnx upcom mã đóng góp mã đóng góp mã đóng góp bid ~% vif ~% acv ~% fpt ~% vcs ~% vbb ~% hvn ~% ceo ~% vea ~% hpg ~% dgc ~% bsr ~% tpb ~% shs ~% sas ~% top cổ phiếu kéo chỉ số xuống stt hose hnx upcom mã đóng góp mã đóng góp mã đóng góp vhm ~% acb ~% vef ~% vic ~% vnr ~% sjg ~% vre ~% php ~% vgi ~% gas ~% shn ~% ~% vjc ~% sgc ~% mvb ~%
11823,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy vic hose    vnm hose    bid hose    vgi upcom    tcb hose    hpg hose    vpb hose    vre hose    vea upcom    gvr hose    mbb hose    fpt hose    acb hnx    pow hose    hdb hose    bsr upcom    stb hose    hng hose    pnj hose    kdh hose    ree hose    sbt hose    pdr hose    oil upcom    qns upcom    lpb upcom    vpi hose    phr hose    hpx hose    pvs hnx    nlg hose    nt hose    hcm hose    dxg hose    ctd hose    ht hose    hose    dcm hose    pvd hose    gtn hose    kdc hose    geg hose    dgc hnx    hsg hose    dig hose    hag hose    nvb hnx    hdg hose    pvt hose    pc hose    ita hose    aaa hose    flc hose    ros hose    hbc hose    ceo hnx    shs hnx    scr hose    frt hose    ijc hose    voc upcom    ldg hose    cti hose    nkg hose    tar hnx    dgw hose    dpg hose    fcn hose    ntl hose    ogc hose    tcm hose    idi hose    ndn hnx    tdh hose    shi hose    las hnx    ttf hose    lcg hose    tna hose    hai hose    tig hnx    amd hose    hqc hose    hut hnx    gmc hose    dlg hose    hose    pvx hnx   drh hose    dah hose    klf hnx    apg hose    pvb hnx    vrc hose    gkm hnx    art hnx    nrc hnx    pvc hnx    hhp hnx    vos hose    sjf hose    hvh hose    evg hose    sbs upcom    hnx    dst hnx    tdg hose    lmh hose    mpt hnx    atb upcom  
